ponto;Pmax;Qmax;Pmin;Qmin;MUSTP;MUSTFP;Instalado
BP Terciario;4,1;1,7;-1,8;1,5;4;4;10
Barra do Peixe;130,6;-18;-41,5;-31,1;130;144;250
Brasnorte;64,1;-9,1;-98,1;-6,4;40;60;100
Canarana;93,7;-7,9;-29,3;-3;95;100;120
Couto Magalhaes;25,1;3,3;-18,8;5;28;28;28
Coxipo;614,8;231,4;-138,4;40,1;576;630;650
Dardanelos;21,5;-2,3;-34,2;-3,4;20,5;21;62,5
Jaciara;19,4;7,7;-26,8;8;16;18;37,5
Jauru;-2,9;12,3;-279,1;70,5;0;0;600
Juba;39,2;8,7;-114,4;-6,5;30;50;300
Juina;43,6;3,6;-19,6;1,5;48;59;100
Lucas do Rio Verde;92,4;28,9;-49;0,8;95;120;150
Nobres;139,3;14,8;-58,7;-15,3;115;145;200
Nova Mutum;89,8;29,8;-82,4;-1,4;68;92;93
Paranaita;113,3;20,5;-91,3;15,7;90;115;150
Petrovina;16,9;7,2;-0,9;0,4;15;20;25
Rondonopolis;314,9;104,6;-51,8;22,4;280;340;400
Santana do Araguaia;101,9;8,3;-10,6;-12,6;105;105;300
Sinop;293,6;8;-153,1;3,2;270;292;300
Sorriso;88,3;16,2;-45,1;6;75;86;90
Varzea Grande;265,2;14,8;25,4;-19,8;265;280;300
Soma Total;2124,61;469,87;-799,83;;;;
